,0,1
0,엑세스바이오,B-
1,한진칼,B-
2,영풍,B-
3,KG스틸,B-
4,KG ETS,B-
5,SK디스커버리,B-
6,오리온,B-
7,엔씨소프트,B-
8,현대건설,B-
9,신세계,B0
10,셀트리온,B0
11,LS,B0
12,코웨이,B+
13,삼성엔지니어링,B+
14,한국타이어앤테크놀로지,B+
15,LG생활건강,A-
16,다우기술,A-
17,동국홀딩스,A-
18,크래프톤,A-
19,대우건설,A0
20,DB하이텍,A0
21,팬오션,A0
22,영원무역,A0
23,포스코인터내셔널,A0
24,LX인터내셔널,A0
25,영원무역홀딩스,A+
26,두산밥캣,A+
27,LG유플러스,A+
28,NAVER,A+
29,CJ제일제당,A+
30,기아,A+
31,삼성전자,A+
32,기업은행,A0
33,하나금융지주,A0
34,신한지주,A0
35,KB금융,A0
