,0,1
0,엑세스바이오,B-
1,DB하이텍,B-
2,KG스틸,B-
3,오리온,B-
4,한진칼,B-
5,코웨이,B-
6,엔씨소프트,B-
7,영원무역,B-
8,KG ETS,B-
9,영원무역홀딩스,B0
10,영풍,B0
11,셀트리온,B0
12,크래프톤,B+
13,동국홀딩스,B+
14,LG생활건강,B+
15,팬오션,A-
16,LX인터내셔널,A-
17,삼성엔지니어링,A-
18,두산밥캣,A-
19,대우건설,A0
20,SK디스커버리,A0
21,포스코인터내셔널,A0
22,한국타이어앤테크놀로지,A0
23,신세계,A0
24,LS,A0
25,LG유플러스,A+
26,현대건설,A+
27,CJ제일제당,A+
28,NAVER,A+
29,다우기술,A+
30,기아,A+
31,삼성전자,A+
32,기업은행,A+
33,하나금융지주,A+
34,신한지주,A0
35,KB금융,A+
